Cell,Louvain_Stage,Annotation
cell_961,0,Visceral Endoderm
cell_962,8,Hemogenic
cell_964,13,Primitive Streak
cell_965,7,Extraembryonic mesoderm
cell_966,1,Trophectoderm
cell_968,3,ant Epiblast
cell_969,6,Visceral Endoderm
cell_970,0,Visceral Endoderm
cell_972,3,ant Epiblast
cell_973,7,Extraembryonic mesoderm
cell_974,0,Visceral Endoderm
cell_975,5,post Primitive Streak; early Extra embryonic mesoderm
cell_976,4,Primitive Streak
cell_977,12,CardioPahayngeal progenitor
cell_978,4,Primitive Streak
cell_979,12,CardioPahayngeal progenitor
cell_980,11,* Visceral Endoderm
cell_981,3,ant Epiblast
cell_982,1,Trophectoderm
cell_983,2,ant Neuroectoderm
cell_984,11,* Visceral Endoderm
cell_985,0,Visceral Endoderm
cell_986,13,Primitive Streak
cell_988,0,Visceral Endoderm
cell_989,3,ant Epiblast
cell_990,0,Visceral Endoderm
cell_991,0,Visceral Endoderm
cell_992,3,ant Epiblast
cell_994,8,Hemogenic
cell_996,12,CardioPahayngeal progenitor
cell_997,7,Extraembryonic mesoderm
cell_998,11,* Visceral Endoderm
cell_1000,10,Caudal Epiblast
cell_1002,13,Primitive Streak
cell_1003,6,Visceral Endoderm
cell_1004,13,Primitive Streak
cell_1005,13,Primitive Streak
cell_1006,0,Visceral Endoderm
cell_1007,2,ant Neuroectoderm
cell_1008,0,Visceral Endoderm
cell_1011,13,Primitive Streak
cell_1012,3,ant Epiblast
cell_1014,4,Primitive Streak
cell_1015,5,post Primitive Streak; early Extra embryonic mesoderm
cell_1016,11,* Visceral Endoderm
cell_1018,10,Caudal Epiblast
cell_1019,0,Visceral Endoderm
cell_1020,7,Extraembryonic mesoderm
cell_1023,7,Extraembryonic mesoderm
cell_1024,9,Definitive Endoderm
cell_1025,9,Definitive Endoderm
cell_1026,11,* Visceral Endoderm
cell_1027,0,Visceral Endoderm
cell_1028,9,Definitive Endoderm
cell_1029,1,Trophectoderm
cell_1030,3,ant Epiblast
cell_1031,6,Visceral Endoderm
cell_1032,9,Definitive Endoderm
cell_1033,0,Visceral Endoderm
cell_1034,0,Visceral Endoderm
cell_1036,6,Visceral Endoderm
cell_1037,11,* Visceral Endoderm
cell_1038,0,Visceral Endoderm
cell_1039,8,Hemogenic
cell_1040,5,post Primitive Streak; early Extra embryonic mesoderm
cell_1041,1,Trophectoderm
cell_1042,7,Extraembryonic mesoderm
cell_1043,11,* Visceral Endoderm
cell_1045,1,Trophectoderm
cell_1048,7,Extraembryonic mesoderm
cell_1049,7,Extraembryonic mesoderm
cell_1050,9,Definitive Endoderm
cell_1051,11,* Visceral Endoderm
cell_1052,3,ant Epiblast
cell_1053,12,CardioPahayngeal progenitor
cell_1055,0,Visceral Endoderm
cell_1056,1,Trophectoderm
cell_1057,5,post Primitive Streak; early Extra embryonic mesoderm
cell_1058,0,Visceral Endoderm
cell_1059,2,ant Neuroectoderm
cell_1060,0,Visceral Endoderm
cell_1061,4,Primitive Streak
cell_1062,1,Trophectoderm
cell_1063,3,ant Epiblast
cell_1064,2,ant Neuroectoderm
cell_1065,7,Extraembryonic mesoderm
cell_1066,13,Primitive Streak
cell_1067,7,Extraembryonic mesoderm
cell_1068,2,ant Neuroectoderm
cell_1072,12,CardioPahayngeal progenitor
cell_1074,5,post Primitive Streak; early Extra embryonic mesoderm
