Cell,Louvain_Stage,Annotation
cell_1075,1,Trophectoderm
cell_1076,4,Primitive Streak
cell_1077,11,* Visceral Endoderm
cell_1079,1,Trophectoderm
cell_1081,11,* Visceral Endoderm
cell_1083,0,Visceral Endoderm
cell_1084,6,Visceral Endoderm
cell_1085,3,ant Epiblast
cell_1087,2,ant Neuroectoderm
cell_1089,2,ant Neuroectoderm
cell_1090,0,Visceral Endoderm
cell_1091,3,ant Epiblast
cell_1092,10,Caudal Epiblast
cell_1093,0,Visceral Endoderm
cell_1094,7,Extraembryonic mesoderm
cell_1095,13,Primitive Streak
cell_1096,1,Trophectoderm
cell_1098,7,Extraembryonic mesoderm
cell_1099,7,Extraembryonic mesoderm
cell_1101,12,CardioPahayngeal progenitor
cell_1102,2,ant Neuroectoderm
cell_1104,2,ant Neuroectoderm
cell_1105,0,Visceral Endoderm
cell_1106,13,Primitive Streak
cell_1107,11,* Visceral Endoderm
cell_1109,0,Visceral Endoderm
cell_1110,3,ant Epiblast
cell_1111,0,Visceral Endoderm
cell_1112,9,Definitive Endoderm
cell_1113,6,Visceral Endoderm
cell_1114,7,Extraembryonic mesoderm
cell_1115,10,Caudal Epiblast
cell_1116,5,post Primitive Streak; early Extra embryonic mesoderm
cell_1118,0,Visceral Endoderm
cell_1119,5,post Primitive Streak; early Extra embryonic mesoderm
cell_1120,11,* Visceral Endoderm
cell_1122,0,Visceral Endoderm
cell_1123,0,Visceral Endoderm
cell_1124,0,Visceral Endoderm
cell_1125,7,Extraembryonic mesoderm
cell_1126,0,Visceral Endoderm
cell_1128,12,CardioPahayngeal progenitor
cell_1129,8,Hemogenic
cell_1130,7,Extraembryonic mesoderm
cell_1131,6,Visceral Endoderm
cell_1132,0,Visceral Endoderm
cell_1133,0,Visceral Endoderm
cell_1134,0,Visceral Endoderm
cell_1137,13,Primitive Streak
cell_1139,12,CardioPahayngeal progenitor
cell_1141,6,Visceral Endoderm
cell_1142,5,post Primitive Streak; early Extra embryonic mesoderm
cell_1143,0,Visceral Endoderm
cell_1145,11,* Visceral Endoderm
cell_1146,12,CardioPahayngeal progenitor
cell_1148,7,Extraembryonic mesoderm
cell_1149,2,ant Neuroectoderm
cell_1150,2,ant Neuroectoderm
cell_1151,1,Trophectoderm
cell_1152,3,ant Epiblast
cell_1153,1,Trophectoderm
cell_1155,1,Trophectoderm
cell_1156,7,Extraembryonic mesoderm
cell_1157,1,Trophectoderm
cell_1158,5,post Primitive Streak; early Extra embryonic mesoderm
cell_1159,4,Primitive Streak
cell_1160,6,Visceral Endoderm
cell_1161,4,Primitive Streak
cell_1162,5,post Primitive Streak; early Extra embryonic mesoderm
cell_1163,12,CardioPahayngeal progenitor
cell_1166,6,Visceral Endoderm
cell_1167,8,Hemogenic
cell_1168,2,ant Neuroectoderm
cell_1169,0,Visceral Endoderm
cell_1171,8,Hemogenic
cell_1174,7,Extraembryonic mesoderm
cell_1177,1,Trophectoderm
cell_1179,0,Visceral Endoderm
cell_1185,0,Visceral Endoderm
cell_1186,2,ant Neuroectoderm
cell_1187,4,Primitive Streak
cell_1189,0,Visceral Endoderm
cell_1190,11,* Visceral Endoderm
cell_1191,0,Visceral Endoderm
cell_1193,5,post Primitive Streak; early Extra embryonic mesoderm
cell_1195,3,ant Epiblast
cell_1197,2,ant Neuroectoderm
cell_1199,3,ant Epiblast
cell_1200,0,Visceral Endoderm
cell_1201,13,Primitive Streak
cell_1203,2,ant Neuroectoderm
cell_1204,11,* Visceral Endoderm
cell_1205,6,Visceral Endoderm
cell_1207,7,Extraembryonic mesoderm
cell_1208,6,Visceral Endoderm
cell_1209,9,Definitive Endoderm
cell_1212,0,Visceral Endoderm
cell_1215,1,Trophectoderm
cell_1216,5,post Primitive Streak; early Extra embryonic mesoderm
cell_1217,2,ant Neuroectoderm
cell_1218,3,ant Epiblast
cell_1219,0,Visceral Endoderm
cell_1224,0,Visceral Endoderm
cell_1226,0,Visceral Endoderm
cell_1227,9,Definitive Endoderm
cell_1228,0,Visceral Endoderm
cell_1230,1,Trophectoderm
cell_1233,13,Primitive Streak
cell_1236,11,* Visceral Endoderm
cell_1237,9,Definitive Endoderm
cell_1239,1,Trophectoderm
cell_1240,8,Hemogenic
cell_1243,7,Extraembryonic mesoderm
cell_1246,9,Definitive Endoderm
cell_1248,5,post Primitive Streak; early Extra embryonic mesoderm
cell_1249,0,Visceral Endoderm
cell_1255,0,Visceral Endoderm
cell_1256,0,Visceral Endoderm
cell_1258,2,ant Neuroectoderm
cell_1260,4,Primitive Streak
cell_1264,4,Primitive Streak
cell_1265,5,post Primitive Streak; early Extra embryonic mesoderm
cell_1266,1,Trophectoderm
cell_1268,1,Trophectoderm
cell_1269,4,Primitive Streak
cell_1270,0,Visceral Endoderm
cell_1273,11,* Visceral Endoderm
cell_1274,7,Extraembryonic mesoderm
cell_1275,3,ant Epiblast
cell_1281,1,Trophectoderm
cell_1282,9,Definitive Endoderm
cell_1285,0,Visceral Endoderm
cell_1287,0,Visceral Endoderm
cell_1288,11,* Visceral Endoderm
cell_1289,0,Visceral Endoderm
cell_1291,1,Trophectoderm
cell_1293,1,Trophectoderm
cell_1294,0,Visceral Endoderm
cell_1295,0,Visceral Endoderm
cell_1297,0,Visceral Endoderm
cell_1300,0,Visceral Endoderm
cell_1305,7,Extraembryonic mesoderm
cell_1306,2,ant Neuroectoderm
cell_1307,6,Visceral Endoderm
cell_1308,0,Visceral Endoderm
cell_1310,11,* Visceral Endoderm
cell_1312,11,* Visceral Endoderm
cell_1317,2,ant Neuroectoderm
cell_1320,6,Visceral Endoderm
cell_1322,0,Visceral Endoderm
cell_1324,11,* Visceral Endoderm
cell_1325,6,Visceral Endoderm
cell_1327,0,Visceral Endoderm
cell_1328,1,Trophectoderm
cell_1329,0,Visceral Endoderm
cell_1330,7,Extraembryonic mesoderm
cell_1331,0,Visceral Endoderm
cell_1332,1,Trophectoderm
cell_1334,0,Visceral Endoderm
cell_1335,11,* Visceral Endoderm
cell_1337,7,Extraembryonic mesoderm
cell_1344,0,Visceral Endoderm
cell_1345,2,ant Neuroectoderm
cell_1346,0,Visceral Endoderm
cell_1347,1,Trophectoderm
cell_1349,1,Trophectoderm
cell_1352,11,* Visceral Endoderm
cell_1353,11,* Visceral Endoderm
cell_1354,0,Visceral Endoderm
cell_1355,11,* Visceral Endoderm
cell_1356,13,Primitive Streak
cell_1357,4,Primitive Streak
cell_1358,11,* Visceral Endoderm
cell_1363,8,Hemogenic
cell_1364,0,Visceral Endoderm
cell_1365,7,Extraembryonic mesoderm
cell_1366,1,Trophectoderm
cell_1368,3,ant Epiblast
cell_1369,8,Hemogenic
cell_1371,0,Visceral Endoderm
cell_1373,0,Visceral Endoderm
cell_1375,1,Trophectoderm
cell_1376,0,Visceral Endoderm
cell_1377,11,* Visceral Endoderm
cell_1381,1,Trophectoderm
cell_1383,2,ant Neuroectoderm
cell_1384,9,Definitive Endoderm
cell_1385,2,ant Neuroectoderm
cell_1386,1,Trophectoderm
cell_1387,9,Definitive Endoderm
cell_1388,4,Primitive Streak
cell_1392,2,ant Neuroectoderm
cell_1399,0,Visceral Endoderm
cell_1400,0,Visceral Endoderm
cell_1403,0,Visceral Endoderm
cell_1404,0,Visceral Endoderm
cell_1405,0,Visceral Endoderm
cell_1406,11,* Visceral Endoderm
cell_1409,8,Hemogenic
cell_1411,0,Visceral Endoderm
cell_1412,0,Visceral Endoderm
cell_1413,0,Visceral Endoderm
cell_1414,11,* Visceral Endoderm
cell_1415,13,Primitive Streak
cell_1418,3,ant Epiblast
cell_1419,11,* Visceral Endoderm
cell_1420,1,Trophectoderm
cell_1423,0,Visceral Endoderm
cell_1424,13,Primitive Streak
cell_1426,0,Visceral Endoderm
cell_1427,0,Visceral Endoderm
cell_1428,0,Visceral Endoderm
cell_1429,0,Visceral Endoderm
cell_1430,4,Primitive Streak
cell_1433,8,Hemogenic
cell_1439,0,Visceral Endoderm
cell_1440,7,Extraembryonic mesoderm
cell_1441,8,Hemogenic
cell_1443,1,Trophectoderm
cell_1444,2,ant Neuroectoderm
cell_1445,7,Extraembryonic mesoderm
cell_1446,7,Extraembryonic mesoderm
cell_1447,10,Caudal Epiblast
cell_1448,0,Visceral Endoderm
cell_1450,6,Visceral Endoderm
cell_1451,2,Trophectoderm
cell_1452,4,Epiblast*
cell_1453,3,Epiblast*
cell_1454,1,Anterior Epiblast
cell_1455,2,Trophectoderm
cell_1456,0,Posterior Epiblast
cell_1457,2,Trophectoderm
cell_1458,0,Posterior Epiblast
cell_1459,2,Trophectoderm
cell_1460,4,Epiblast*
cell_1461,2,Trophectoderm
cell_1462,1,Anterior Epiblast
cell_1463,5,Visceral Endoderm
cell_1464,3,Epiblast*
cell_1465,4,Epiblast*
cell_1466,3,Epiblast*
cell_1467,0,Posterior Epiblast
cell_1468,1,Anterior Epiblast
cell_1469,0,Posterior Epiblast
cell_1470,3,Epiblast*
cell_1472,3,Epiblast*
cell_1473,2,Trophectoderm
cell_1474,0,Posterior Epiblast
cell_1476,4,Epiblast*
cell_1477,0,Posterior Epiblast
cell_1478,3,Epiblast*
cell_1479,2,Trophectoderm
cell_1480,2,Trophectoderm
cell_1481,-1,
cell_1482,2,Trophectoderm
cell_1483,3,Epiblast*
cell_1484,1,Anterior Epiblast
cell_1485,2,Trophectoderm
cell_1488,0,Posterior Epiblast
cell_1489,5,Visceral Endoderm
cell_1490,3,Epiblast*
cell_1491,5,Visceral Endoderm
cell_1492,3,Epiblast*
cell_1493,0,Posterior Epiblast
cell_1494,2,Trophectoderm
cell_1495,3,Epiblast*
cell_1496,4,Epiblast*
cell_1497,4,Epiblast*
cell_1498,4,Epiblast*
cell_1499,4,Epiblast*
cell_1500,1,Anterior Epiblast
cell_1501,0,Posterior Epiblast
cell_1502,2,Trophectoderm
cell_1503,2,Trophectoderm
cell_1504,3,Epiblast*
cell_1505,3,Epiblast*
cell_1506,2,Trophectoderm
cell_1508,3,Epiblast*
cell_1509,4,Epiblast*
cell_1510,4,Epiblast*
cell_1511,5,Visceral Endoderm
cell_1512,0,Posterior Epiblast
cell_1513,0,Posterior Epiblast
cell_1514,0,Posterior Epiblast
cell_1515,3,Epiblast*
cell_1516,2,Trophectoderm
cell_1517,1,Anterior Epiblast
cell_1518,0,Posterior Epiblast
cell_1519,0,Posterior Epiblast
cell_1520,1,Anterior Epiblast
cell_1521,0,Posterior Epiblast
cell_1522,4,Epiblast*
cell_1523,4,Epiblast*
cell_1524,3,Epiblast*
cell_1525,0,Posterior Epiblast
cell_1527,1,Anterior Epiblast
cell_1528,2,Trophectoderm
cell_1529,2,Trophectoderm
cell_1530,3,Epiblast*
cell_1531,1,Anterior Epiblast
cell_1533,-1,
cell_1534,0,Posterior Epiblast
cell_1535,2,Trophectoderm
cell_1536,2,Trophectoderm
cell_1537,1,Anterior Epiblast
cell_1538,-1,
cell_1539,5,Visceral Endoderm
cell_1540,0,Posterior Epiblast
cell_1541,1,Anterior Epiblast
cell_1543,1,Anterior Epiblast
cell_1544,4,Epiblast*
cell_1546,2,Trophectoderm
cell_1547,3,Epiblast*
cell_1548,0,Posterior Epiblast
cell_1549,0,Posterior Epiblast
cell_1550,1,Anterior Epiblast
cell_1552,4,Epiblast*
cell_1553,4,Epiblast*
cell_1554,0,Posterior Epiblast
cell_1556,5,Visceral Endoderm
cell_1557,0,Posterior Epiblast
cell_1558,2,Trophectoderm
cell_1559,4,Epiblast*
cell_1560,1,Anterior Epiblast
cell_1561,2,Trophectoderm
cell_1562,3,Epiblast*
cell_1563,0,Posterior Epiblast
cell_1564,0,Posterior Epiblast
cell_1565,0,Posterior Epiblast
cell_1566,0,Posterior Epiblast
cell_1567,1,Anterior Epiblast
cell_1568,2,Trophectoderm
cell_1569,2,Trophectoderm
cell_1570,1,Anterior Epiblast
cell_1571,3,Epiblast*
cell_1572,5,Visceral Endoderm
cell_1573,1,Anterior Epiblast
cell_1575,0,Posterior Epiblast
cell_1576,4,Epiblast*
cell_1577,3,Epiblast*
cell_1578,4,Epiblast*
cell_1579,0,Posterior Epiblast
cell_1580,3,Epiblast*
cell_1581,3,Epiblast*
cell_1582,0,Posterior Epiblast
cell_1583,2,Trophectoderm
cell_1584,5,Visceral Endoderm
cell_1585,1,Anterior Epiblast
cell_1586,4,Epiblast*
cell_1587,2,Trophectoderm
cell_1588,2,Trophectoderm
cell_1589,0,Posterior Epiblast
cell_1590,3,Epiblast*
cell_1591,2,Trophectoderm
cell_1592,5,Visceral Endoderm
cell_1593,2,Trophectoderm
cell_1594,2,Trophectoderm
cell_1595,5,Visceral Endoderm
cell_1596,0,Posterior Epiblast
cell_1597,0,Posterior Epiblast
cell_1598,3,Epiblast*
cell_1599,0,Posterior Epiblast
cell_1600,1,Anterior Epiblast
cell_1601,4,Epiblast*
cell_1602,2,Trophectoderm
cell_1605,4,Epiblast*
cell_1606,2,Trophectoderm
cell_1607,3,Epiblast*
cell_1608,2,Trophectoderm
cell_1609,0,Posterior Epiblast
cell_1610,0,Posterior Epiblast
cell_1611,2,Trophectoderm
cell_1612,3,Epiblast*
cell_1613,0,Posterior Epiblast
cell_1614,3,Epiblast*
cell_1616,4,Epiblast*
cell_1617,3,Epiblast*
cell_1618,0,Posterior Epiblast
cell_1619,3,Epiblast*
cell_1620,0,Posterior Epiblast
cell_1621,1,Anterior Epiblast
cell_1622,0,Posterior Epiblast
cell_1623,3,Epiblast*
cell_1624,3,Epiblast*
cell_1625,3,Epiblast*
cell_1627,0,Posterior Epiblast
cell_1629,1,Anterior Epiblast
cell_1630,1,Anterior Epiblast
cell_1631,1,Anterior Epiblast
cell_1634,5,Visceral Endoderm
cell_1635,2,Trophectoderm
cell_1636,4,Epiblast*
cell_1637,3,Epiblast*
cell_1638,1,Anterior Epiblast
cell_1639,2,Trophectoderm
cell_1640,3,Epiblast*
cell_1641,3,Epiblast*
cell_1642,0,Posterior Epiblast
cell_1643,2,Trophectoderm
cell_1644,0,Posterior Epiblast
cell_1645,3,Epiblast*
cell_1646,1,Anterior Epiblast
cell_1647,2,Trophectoderm
cell_1648,1,Anterior Epiblast
cell_1649,4,Epiblast*
cell_1650,1,Anterior Epiblast
cell_1651,4,Epiblast*
cell_1653,4,Epiblast*
cell_1654,3,Epiblast*
cell_1655,0,Posterior Epiblast
cell_1656,0,Posterior Epiblast
cell_1657,3,Epiblast*
cell_1658,1,Anterior Epiblast
cell_1659,2,Trophectoderm
cell_1660,4,Epiblast*
cell_1661,0,Posterior Epiblast
cell_1662,5,Visceral Endoderm
cell_1663,2,Trophectoderm
cell_1664,-1,
cell_1665,3,Epiblast*
cell_1666,-1,
cell_1667,0,Posterior Epiblast
cell_1668,0,Posterior Epiblast
cell_1669,0,Posterior Epiblast
cell_1670,1,Anterior Epiblast
cell_1671,2,Trophectoderm
cell_1672,0,Posterior Epiblast
cell_1673,1,Anterior Epiblast
cell_1674,2,Trophectoderm
cell_1675,2,Trophectoderm
cell_1676,2,Trophectoderm
cell_1677,1,Anterior Epiblast
cell_1678,2,Trophectoderm
cell_1679,3,Epiblast*
cell_1681,0,Posterior Epiblast
cell_1682,3,Epiblast*
cell_1683,2,Trophectoderm
cell_1684,0,Posterior Epiblast
cell_1686,0,Posterior Epiblast
cell_1687,5,Visceral Endoderm
cell_1688,0,Posterior Epiblast
cell_1690,5,Visceral Endoderm
cell_1691,2,Trophectoderm
cell_1692,2,Trophectoderm
cell_1693,2,Trophectoderm
cell_1694,0,Posterior Epiblast
cell_1695,1,Anterior Epiblast
cell_1696,1,Anterior Epiblast
cell_1697,0,Posterior Epiblast
cell_1698,0,Posterior Epiblast
cell_1699,0,Posterior Epiblast
cell_1700,5,Visceral Endoderm
cell_1701,2,Trophectoderm
cell_1702,2,Trophectoderm
cell_1703,2,Trophectoderm
cell_1705,3,Epiblast*
cell_1706,3,Epiblast*
cell_1708,2,Trophectoderm
cell_1709,1,Anterior Epiblast
cell_1710,2,Trophectoderm
cell_1712,3,Epiblast*
cell_1713,0,Posterior Epiblast
cell_1714,3,Epiblast*
cell_1716,2,Trophectoderm
cell_1717,3,Epiblast*
cell_1718,2,Trophectoderm
cell_1719,0,Posterior Epiblast
cell_1720,4,Epiblast*
cell_1722,5,Visceral Endoderm
cell_1723,1,Anterior Epiblast
cell_1724,0,Posterior Epiblast
cell_1725,5,Visceral Endoderm
cell_1726,1,Anterior Epiblast
cell_1727,2,Trophectoderm
cell_1728,4,Epiblast*
cell_1729,1,Anterior Epiblast
cell_1730,1,Anterior Epiblast
cell_1731,2,Trophectoderm
cell_1732,2,Trophectoderm
cell_1733,2,Trophectoderm
cell_1734,2,Trophectoderm
cell_1735,5,Visceral Endoderm
cell_1736,2,Trophectoderm
cell_1737,2,Trophectoderm
cell_1738,2,Trophectoderm
cell_1739,0,Posterior Epiblast
cell_1741,0,Posterior Epiblast
cell_1742,1,Anterior Epiblast
cell_1743,3,Epiblast*
cell_1744,0,Posterior Epiblast
cell_1745,5,Visceral Endoderm
cell_1746,3,Epiblast*
cell_1747,2,Trophectoderm
cell_1748,4,Epiblast*
cell_1750,3,Epiblast*
cell_1751,1,Anterior Epiblast
cell_1752,0,Posterior Epiblast
cell_1753,0,Posterior Epiblast
cell_1754,5,Visceral Endoderm
cell_1755,0,Posterior Epiblast
cell_1756,1,Anterior Epiblast
cell_1758,0,Posterior Epiblast
cell_1759,4,Epiblast*
cell_1760,2,Trophectoderm
cell_1761,2,Trophectoderm
cell_1762,1,Anterior Epiblast
cell_1763,3,Epiblast*
cell_1764,0,Posterior Epiblast
cell_1766,4,Epiblast*
cell_1767,4,Epiblast*
cell_1768,2,Trophectoderm
cell_1770,4,Epiblast*
cell_1771,3,Epiblast*
cell_1772,0,Posterior Epiblast
cell_1773,5,Visceral Endoderm
cell_1775,0,Posterior Epiblast
cell_1776,2,Trophectoderm
cell_1777,3,Epiblast*
cell_1778,5,Visceral Endoderm
cell_1779,3,Epiblast*
cell_1780,1,Anterior Epiblast
cell_1781,2,Trophectoderm
cell_1782,3,Epiblast*
cell_1783,3,Epiblast*
cell_1784,4,Epiblast*
cell_1785,2,Trophectoderm
cell_1787,5,Visceral Endoderm
cell_1788,1,Anterior Epiblast
cell_1789,3,Epiblast*
cell_1790,0,Posterior Epiblast
cell_1791,5,Visceral Endoderm
cell_1792,2,Trophectoderm
cell_1793,5,Visceral Endoderm
cell_1794,2,Trophectoderm
cell_1795,0,Posterior Epiblast
cell_1796,0,Posterior Epiblast
cell_1797,5,Visceral Endoderm
cell_1799,0,Posterior Epiblast
cell_1800,3,Epiblast*
cell_1801,5,Visceral Endoderm
cell_1802,0,Posterior Epiblast
cell_1803,1,Anterior Epiblast
cell_1804,0,Posterior Epiblast
cell_1805,0,Posterior Epiblast
cell_1806,2,Trophectoderm
cell_1808,1,Anterior Epiblast
cell_1809,0,Posterior Epiblast
cell_1810,2,Trophectoderm
cell_1811,3,Epiblast*
cell_1812,4,Epiblast*
cell_1813,3,Epiblast*
cell_1814,5,Visceral Endoderm
cell_1815,0,Posterior Epiblast
cell_1817,2,Trophectoderm
cell_1818,3,Epiblast*
cell_1819,1,Anterior Epiblast
cell_1822,5,Visceral Endoderm
cell_1823,5,Visceral Endoderm
cell_1824,0,Posterior Epiblast
cell_1826,1,Anterior Epiblast
cell_1827,3,Epiblast*
cell_1828,2,Trophectoderm
cell_1829,0,Posterior Epiblast
cell_1830,5,Visceral Endoderm
cell_1831,2,Trophectoderm
cell_1832,1,Anterior Epiblast
cell_1833,4,Epiblast*
cell_1835,3,Epiblast*
cell_1836,2,Trophectoderm
cell_1837,2,Trophectoderm
cell_1839,4,Epiblast*
cell_1840,3,Epiblast*
cell_1841,4,Epiblast*
cell_1842,3,Epiblast*
cell_1844,3,Epiblast*
cell_1845,3,Epiblast*
cell_1846,0,Posterior Epiblast
cell_1847,5,Visceral Endoderm
cell_1848,2,Trophectoderm
cell_1849,0,Posterior Epiblast
cell_1851,5,Visceral Endoderm
cell_1852,0,Posterior Epiblast
cell_1853,-1,
cell_1854,0,Posterior Epiblast
cell_1855,1,Anterior Epiblast
cell_1856,1,Anterior Epiblast
cell_1857,2,Trophectoderm
cell_1858,4,Epiblast*
cell_1859,1,Anterior Epiblast
cell_1860,0,Posterior Epiblast
cell_1861,3,Epiblast*
cell_1862,5,Visceral Endoderm
cell_1863,2,Trophectoderm
cell_1864,2,Trophectoderm
cell_1865,4,Epiblast*
cell_1866,3,Epiblast*
cell_1867,2,Trophectoderm
cell_1868,1,Anterior Epiblast
cell_1869,5,Visceral Endoderm
cell_1870,3,Epiblast*
cell_1871,1,Anterior Epiblast
cell_1873,2,Trophectoderm
cell_1874,2,Trophectoderm
cell_1875,5,Visceral Endoderm
cell_1877,2,Trophectoderm
cell_1878,3,Epiblast*
cell_1879,2,Trophectoderm
cell_1880,0,Posterior Epiblast
cell_1883,3,Epiblast*
cell_1884,1,Anterior Epiblast
cell_1885,4,Epiblast*
cell_1888,0,Posterior Epiblast
cell_1889,4,Epiblast*
cell_1890,0,Posterior Epiblast
cell_1891,1,Anterior Epiblast
cell_1892,2,Trophectoderm
cell_1893,1,Anterior Epiblast
cell_1895,2,Trophectoderm
cell_1896,1,Anterior Epiblast
cell_1898,0,Posterior Epiblast
cell_1899,4,Epiblast*
cell_1900,5,Visceral Endoderm
cell_1901,2,Trophectoderm
cell_1902,1,Anterior Epiblast
cell_1903,3,Epiblast*
cell_1904,3,Epiblast*
cell_1905,4,Epiblast*
cell_1907,1,Anterior Epiblast
cell_1908,0,Posterior Epiblast
cell_1909,0,Posterior Epiblast
cell_1911,0,Posterior Epiblast
cell_1912,0,Posterior Epiblast
cell_1913,3,Epiblast*
cell_1915,5,Visceral Endoderm
cell_1916,1,Anterior Epiblast
cell_1917,2,Trophectoderm
cell_1918,1,Anterior Epiblast
cell_1920,5,Visceral Endoderm
cell_1921,1,Anterior Epiblast
cell_1922,1,Anterior Epiblast
cell_1923,4,Epiblast*
cell_1924,3,Epiblast*
cell_1925,2,Trophectoderm
cell_1926,3,Epiblast*
cell_1927,0,Posterior Epiblast
cell_1928,1,Anterior Epiblast
cell_1929,0,Posterior Epiblast
cell_1930,1,Anterior Epiblast
cell_1931,1,Anterior Epiblast
cell_1932,0,Posterior Epiblast
cell_1933,3,Epiblast*
cell_1934,1,Anterior Epiblast
cell_1935,2,Trophectoderm
cell_1936,3,Epiblast*
cell_1937,3,Epiblast*
cell_1939,0,Posterior Epiblast
cell_1940,1,Anterior Epiblast
cell_1943,1,Anterior Epiblast
cell_1944,1,Anterior Epiblast
cell_1945,0,Posterior Epiblast
cell_1946,1,Anterior Epiblast
cell_1947,0,Posterior Epiblast
cell_1949,5,Visceral Endoderm
cell_1950,3,Epiblast*
cell_1951,3,Epiblast*
cell_1952,1,Anterior Epiblast
cell_1953,3,Epiblast*
cell_1954,2,Trophectoderm
cell_1955,5,Visceral Endoderm
cell_1956,2,Trophectoderm
cell_1957,5,Visceral Endoderm
cell_1958,0,Posterior Epiblast
cell_1959,1,Anterior Epiblast
cell_1960,2,Trophectoderm
cell_1963,4,Epiblast*
cell_1964,3,Epiblast*
cell_1965,1,Anterior Epiblast
cell_1966,3,Epiblast*
cell_1967,1,Anterior Epiblast
cell_1968,0,Posterior Epiblast
cell_1969,1,Anterior Epiblast
cell_1970,0,Posterior Epiblast
cell_1971,2,Trophectoderm
cell_1972,3,Epiblast*
cell_1973,0,Posterior Epiblast
cell_1974,1,Anterior Epiblast
cell_1975,2,Trophectoderm
cell_1977,2,Trophectoderm
cell_1978,0,Posterior Epiblast
cell_1979,5,Visceral Endoderm
cell_1980,1,Anterior Epiblast
cell_1982,0,Posterior Epiblast
cell_1983,3,Epiblast*
cell_1985,1,Anterior Epiblast
cell_1986,0,Posterior Epiblast
cell_1988,2,Trophectoderm
cell_1989,1,Anterior Epiblast
cell_1990,3,Epiblast*
cell_1991,1,Anterior Epiblast
cell_1992,5,Visceral Endoderm
cell_1993,0,Posterior Epiblast
cell_1994,0,Posterior Epiblast
cell_1995,5,Visceral Endoderm
cell_1996,1,Anterior Epiblast
cell_1997,2,Trophectoderm
cell_1999,2,Trophectoderm
cell_2001,2,Trophectoderm
cell_2002,0,Posterior Epiblast
cell_2004,2,Trophectoderm
cell_2005,4,Epiblast*
cell_2006,0,Posterior Epiblast
cell_2008,3,Epiblast*
cell_2009,2,Trophectoderm
cell_2010,1,Anterior Epiblast
cell_2011,2,Trophectoderm
cell_2012,0,Posterior Epiblast
cell_2013,1,Anterior Epiblast
cell_2014,1,Anterior Epiblast
cell_2015,2,Trophectoderm
cell_2016,4,Epiblast*
cell_2017,4,Epiblast*
cell_2018,2,Trophectoderm
cell_2019,2,Trophectoderm
cell_2020,1,Anterior Epiblast
cell_2021,3,Epiblast*
cell_2022,2,Trophectoderm
cell_2024,4,Epiblast*
cell_2025,1,Anterior Epiblast
cell_2026,0,Posterior Epiblast
cell_2027,0,Posterior Epiblast
cell_2028,2,Trophectoderm
cell_2029,3,Epiblast*
cell_2030,3,Epiblast*
cell_2031,2,Trophectoderm
cell_2032,2,Trophectoderm
